OBJECT_NAME,COLUMN_NAME,DATA_TYPE,DATA_WIDTH,DATA_PRECISION,DEFAULTVAL,NULLABLE,DATASOURCE
ALL_MONTHS_V,ORDERBY,NUMBER,10,0,None,True,ORATECHDATAHUB
ALL_MONTHS_V,IDVALUE,VARCHAR2,9,0,None,True,ORATECHDATAHUB
ALL_MONTHS_V,ID,VARCHAR2,9,0,None,True,ORATECHDATAHUB
ALL_MONTHS_V,SHORTNAME,CHAR,3,0,None,True,ORATECHDATAHUB
API_ATTACHMENTS_V,STRING,VARCHAR2,4000,0,None,True,ORATECHDATAHUB
API_EXTRACTDATA_V,VIEWNAME,VARCHAR2,20,0,None,True,ORATECHDATAHUB
API_EXTRACTDATA_V,FILENAME,VARCHAR2,19,0,None,True,ORATECHDATAHUB
API_FUNCTIONS_V,STRING,VARCHAR2,4000,0,None,True,ORATECHDATAHUB
API_JOBS_V,STRING,VARCHAR2,4000,0,None,True,ORATECHDATAHUB
API_LOOKUPCODES_V,STRING,VARCHAR2,4000,0,None,True,ORATECHDATAHUB
API_LOOKUPTYPES_V,STRING,VARCHAR2,4000,0,None,True,ORATECHDATAHUB
API_MAILMERGE_V,STRING,VARCHAR2,4000,0,None,True,ORATECHDATAHUB
API_MENURESP_V,STRING,VARCHAR2,4000,0,None,True,ORATECHDATAHUB
API_MENUS_V,STRING,VARCHAR2,4000,0,None,True,ORATECHDATAHUB
API_MODULES_V,STRING,VARCHAR2,4000,0,None,True,ORATECHDATAHUB
API_NAVIGATIONS_V,STRING,VARCHAR2,4000,0,None,True,ORATECHDATAHUB
API_NOTIFEVENTS_V,STRING,VARCHAR2,4000,0,None,True,ORATECHDATAHUB
API_PARAMETERS_V,STRING,VARCHAR2,4000,0,None,True,ORATECHDATAHUB
API_PRIVILEGES_V,STRING,VARCHAR2,4000,0,None,True,ORATECHDATAHUB
API_PROFILES_V,STRING,VARCHAR2,4000,0,None,True,ORATECHDATAHUB
API_REPORTS_V,STRING,VARCHAR2,4000,0,None,True,ORATECHDATAHUB
API_REPPARAMS_V,STRING,VARCHAR2,4000,0,None,True,ORATECHDATAHUB
API_RESPONSIBILITY_V,STRING,VARCHAR2,4000,0,None,True,ORATECHDATAHUB
API_SYSCONTROLS_V,STRING,VARCHAR2,4000,0,None,True,ORATECHDATAHUB
API_SYSPROGRAMS_V,STRING,VARCHAR2,4000,0,None,True,ORATECHDATAHUB
API_USERRESP_V,STRING,VARCHAR2,4000,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,CURRENCY_CODE,VARCHAR2,10,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,RECORD_STATUS,VARCHAR2,1,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,PO_HEADER_ID,NUMBER,10,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,DBNOTE_ID,NUMBER,10,0,None,False,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,DBNOTE_NUMBER,VARCHAR2,30,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,SUP_SUPPLIER_ID,NUMBER,10,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,SOURCED_FROM,VARCHAR2,30,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,SOURCE_TYPE,VARCHAR2,30,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,TRANSACTION_TYPE,VARCHAR2,30,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,COMMENTS,VARCHAR2,2000,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,NET_TOTAL,NUMBER,14,2,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,VAT_TOTAL,NUMBER,14,2,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,DISCOUNT_TOTAL,NUMBER,14,2,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,GROSS_TOTAL,NUMBER,14,2,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,SOURCE_OBJECT,VARCHAR2,30,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,DBNOTE_REFERENCE,VARCHAR2,30,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,DBNOTE_STATUS,VARCHAR2,30,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,LAST_UPDATE_DATE,DATE,7,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,LAST_UPDATED_BY,NUMBER,15,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,CREATED_BY,NUMBER,15,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,BU_ID,NUMBER,15,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,CREATION_DATE,DATE,7,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,DBNOTE_DATE,DATE,7,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,UPDATE_SOURCE,VARCHAR2,30,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,DELETE_FLAG,VARCHAR2,1,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,DBNOTE_SETTLED,VARCHAR2,1,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,DBNOTE_SETTLED_ON,DATE,7,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,DBNOTE_SOURCE_ID,NUMBER,10,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,DBNOTE_STATUS_DATE,DATE,7,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,DBNOTE_STATUS_BY,VARCHAR2,30,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,DBNOTE_SETTLED_BY,VARCHAR2,30,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,DELIVERY_NOTE_REF,VARCHAR2,30,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,DELIVERY_DATE,DATE,7,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,SHIPTO_LOCATION_ID,NUMBER,10,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,BILLTO_LOCATION_ID,NUMBER,10,0,None,True,ORATECHDATAHUB
AP_DBNOTE_HEADERS_V,ADJUST_STOCK,VARCHAR2,1,0,None,True,ORATECHDATAHUB
AP_DBNOTE_LINES_V,GL_ACCOUNT_CODE,NUMBER,10,0,None,True,ORATECHDATAHUB
AP_DBNOTE_LINES_V,EXCHANGE_RATE,NUMBER,12,6,None,True,ORATECHDATAHUB
AP_DBNOTE_LINES_V,SUB_LOCATION_ID,NUMBER,10,0,None,True,ORATECHDATAHUB
AP_DBNOTE_LINES_V,RECORD_STATUS,VARCHAR2,1,0,None,True,ORATECHDATAHUB
AP_DBNOTE_LINES_V,DBNOTE_ID,NUMBER,10,0,None,False,ORATECHDATAHUB
AP_DBNOTE_LINES_V,ITEM_ID,NUMBER,10,0,None,True,ORATECHDATAHUB
AP_DBNOTE_LINES_V,ITEM_NAME,VARCHAR2,100,0,None,True,ORATECHDATAHUB
